,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"@OwainAlty I think if covid is listed on the death certificate as either primary or contributory cause, it goes dow… https://t.co/fBpStM7nS8",FALSE,0,OwainAlty,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,3394509993,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RipleyPhoto,0,FALSE,FALSE,NA,NA
2,RT @WFLA: California funeral homes run out of space as COVID-19 rages https://t.co/fZHlWmdAJV https://t.co/p906RmCNvI,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Ianto_back2_TW,1,TRUE,FALSE,NA,NA
3,@AllMightyYo They was doing COVID test I think,FALSE,0,AllMightyYo,02/01/2021 22:22,FALSE,1.35E+18,1.35E+18,399677246,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jovani2rivas,0,FALSE,FALSE,NA,NA
4,We have to win tomorrow at all costs. There is zero excuses to hide behind given City will have 5 starters missing due to covid,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The8Role,0,FALSE,FALSE,NA,NA
5,RT @bIondiewasabi: LA has stopped transporting heart attack and stroke victims to hospitals because there are no beds due to covid overload…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",alejandrag0mez,11196,TRUE,FALSE,NA,NA
6,sorry I havent been active on here it's because I've been playing subway surfers obsessively since I got covid,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",would_that_i,0,FALSE,FALSE,NA,NA
7,@Hawkijon @IngrahamAngle I tell everyone. also rinsing mouth with alcohol or mouthwash with alcohol is proven to re… https://t.co/VEdC5b8o9t,FALSE,0,Hawkijon,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,73907042,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",45Supporter2020,0,FALSE,FALSE,NA,NA
8,RT @rupert_pearse: COVID ICU again today. Almost all my patients are less than 60 years old and previously fit. Some are very young. If you…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KingJesseIV,20683,TRUE,FALSE,NA,NA
9,"Congressman-elect who died of COVID said:""'thanks to Trump, “America is defeating COVID-19.'... after staging multi… https://t.co/lKXmhWygBN",FALSE,0,NA,02/01/2021 22:22,TRUE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",HealthCareRenew,0,FALSE,FALSE,NA,NA
10,RT @thurgoodhamer: My friend (an MD) told me not to do any rigorous exercise for 3 months after my COVID diagnosis because of the possibili…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",nohilism,10296,TRUE,FALSE,NA,NA
11,"@richie26188 @connellgm51 @cpenguina @jimclark67crop Many are false positive.
Almost nobody has died solely from co… https://t.co/TKyurUlCgp",FALSE,0,richie26188,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,91858986,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DavidBHerbert,0,FALSE,FALSE,NA,NA
12,RT @rena_korb: Georgia you have the chance to return purpose to Congress with your vote for @ReverendWarnock and @Ossoff. Biden-Harris need…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",hipchique,22,TRUE,FALSE,NA,NA
13,"RT @MeidasTouch: If we wanted @tedcruz to vote for $2,000 covid survival checks maybe we should have called his wife ugly first",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GNRtruth,922,TRUE,FALSE,NA,NA
14,RT @maxfawcett: Am I...enjoying a Rick Bell column? https://t.co/X6WdaH8m1v,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",spiderzjay,169,TRUE,FALSE,NA,NA
15,"@Omahan4Chiefs @KETV On Thursday, December 31, the Douglas County Health Department (DCHD) reported 298 new cases o… https://t.co/h7fDEn9iun",FALSE,0,Omahan4Chiefs,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,528991943,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Jonjon2810,0,FALSE,FALSE,NA,NA
16,"RT @PHE_uk: Commenting on reports on mixing vaccines, Dr Mary Ramsay, Head of Immunisations at PHE, said: “We do not recommend mixing the C…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",VernaZinclair2,331,TRUE,FALSE,NA,NA
17,"RT @heykeir: @Cleavon_MD ""I haven't left my house. There's no way I could have Covid.""
*10 minutes later*
""Yesterday, when my ten grandchil…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",veronica__boyd,91,TRUE,FALSE,NA,NA
18,"RT @itvnews: Covid: Leading teaching union advises primary school staff not to return to classrooms
https://t.co/Kuiuh5vERv",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",timg33,11,TRUE,FALSE,NA,NA
19,RT @dremilyportermd: Reading comments on a local drag queen’s GoFundMe for her COVID treatment. Uninsured and on ventilator since 12/21. An…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrendaSchlossb1,42,TRUE,FALSE,NA,NA
20,"RT @AlexandriaV2005: climate change is causing more air inversions in the winter, trapping pollution. And you thought you could breathe aft…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JimBair62221006,10,TRUE,FALSE,NA,NA
21,RT @guardian: Symptomless cases in schools could be key driver in spread of Covid-19 https://t.co/t5KQun3gRc,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nglwaug,158,TRUE,FALSE,NA,NA
